"initialpos, x","initialpos, y","initialpos, z","finalpos, x","finalpos, y","finalpos, z"
0.0,0.0,0.0,1.4658606532401185e-12,1.4658606532401185e-12,1.4658606532401185e-12
3.8219832744934152e-10,0.0,0.0,3.8271246679610114e-10,1.4658606532401185e-12,1.4658606532401185e-12
0.0,3.8219832744934152e-10,0.0,1.4658606532401185e-12,3.8271246679610114e-10,1.4658606532401185e-12
3.8219832744934152e-10,3.8219832744934152e-10,0.0,3.8271246679610114e-10,3.8271246679610114e-10,1.4658606532401185e-12
0.0,0.0,3.8219832744934152e-10,1.4658606532401185e-12,1.4658606532401185e-12,3.8271246679610114e-10
3.8219832744934152e-10,0.0,3.8219832744934152e-10,3.8271246679610114e-10,1.4658606532401185e-12,3.8271246679610114e-10
0.0,3.8219832744934152e-10,3.8219832744934152e-10,1.4658606532401185e-12,3.8271246679610114e-10,3.8271246679610114e-10
3.8219832744934152e-10,3.8219832744934152e-10,3.8219832744934152e-10,3.8271246679610114e-10,3.8271246679610114e-10,3.8271246679610114e-10
