Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV),VACF
0.0,-0.1555640860768176,0.0,-0.1555640860768176,1.0
0.01,-0.15555931741054402,9.4074711950973376e-06,-0.15556872488173912,1.0
0.02,-0.15555932517643381,2.3274666359611981e-05,-0.15558259984279343,-7.1954862929985213
0.029999999999999999,-0.15555933809350506,4.6248654237528541e-05,-0.15560558674774258,-4.1363810914365047
0.040000000000000001,-0.15555935612171798,7.8122954682068624e-05,-0.15563747907640005,-4.7193432131743069
0.050000000000000003,-0.15555937920318072,0.00011860956138598123,-0.1556779887645667,-4.9926420926359416
0.059999999999999998,-0.15555940726033549,0.00016734004029420339,-0.15572674730062969,-5.1243614106468929
0.070000000000000007,-0.15555944019365833,0.00022386698787881231,-0.15578330718153716,-4.4075134468566279
0.080000000000000002,-0.15555947787890051,0.00028766588303881339,-0.15584714376193931,-4.5024615994737731
0.089999999999999997,-0.15555952016390692,0.00035813737299269111,-0.15591765753689962,-4.5540859205681921
0.10000000000000001,-0.15555956686506098,0.00043461003952545272,-0.15599417690458642,-4.574519317359047
0.11,-0.15555961776341498,0.00051634369715818345,-0.15607596146057318,-4.5715793948523622
0.12,-0.15555967260058254,0.00060253327902087318,-0.15616220587960342,-4.5505081072252898
0.13,-0.15555973107448767,0.00069231336918996447,-0.15625204444367763,-4.514937910444452
0.14000000000000001,-0.15555979283508395,0.00078476344172845943,-0.1563445562768124,-4.4674570192465302
0.14999999999999999,-0.15555985748018045,0.00087891386633327546,-0.15643877134651371,-4.7706183828098814
0.16,-0.15555992455153553,0.00097375273801631357,-0.15653367728955184,-4.6778303093148441
0.17000000000000001,-0.15555999353140465,0.0010682335832621122,-0.15662822711466676,-4.5801969722153135
0.17999999999999999,-0.15556006383975512,0.0011612839872400748,-0.15672134782699521,-4.4781472288982211
0.19,-0.15556013483238576,0.0012518151755241814,-0.15681195000790993,-4.3720114061942406
0.20000000000000001,-0.15556020580021296,0.0013387325690236407,-0.1568989383692366,-4.2620515859720598
