"initialpos, x","initialpos, y","finalpos, x","finalpos, y"
0.0,0.0,2.4301754350294896e-12,2.4301754350294892e-12
3.8219832744934152e-10,0.0,3.8382005951862202e-10,2.5776324401814009e-12
7.6439665489868305e-10,0.0,7.6675492282940268e-10,2.5776324401814921e-12
1.1465949823480247e-09,0.0,1.1481448069129959e-09,2.4301754350294343e-12
0.0,3.8219832744934152e-10,2.5776324401813746e-12,3.8382005951862202e-10
3.8219832744934152e-10,3.8219832744934152e-10,3.828200344048199e-10,3.8282003440482e-10
7.6439665489868305e-10,3.8219832744934152e-10,7.6775494794320536e-10,3.8282003440482011e-10
1.1465949823480247e-09,3.8219832744934152e-10,1.1479973499078435e-09,3.8382005951862171e-10
0.0,7.6439665489868305e-10,2.5776324401814715e-12,7.6675492282940268e-10
3.8219832744934152e-10,7.6439665489868305e-10,3.8282003440482006e-10,7.6775494794320536e-10
7.6439665489868305e-10,7.6439665489868305e-10,7.6775494794320526e-10,7.6775494794320526e-10
1.1465949823480247e-09,7.6439665489868305e-10,1.1479973499078438e-09,7.6675492282940268e-10
0.0,1.1465949823480247e-09,2.4301754350295268e-12,1.1481448069129959e-09
3.8219832744934152e-10,1.1465949823480247e-09,3.8382005951862176e-10,1.147997349907844e-09
7.6439665489868305e-10,1.1465949823480247e-09,7.6675492282940257e-10,1.1479973499078438e-09
1.1465949823480247e-09,1.1465949823480247e-09,1.1481448069129959e-09,1.1481448069129959e-09
