Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV)
0.0,-0.30057887311799347,0.0,-0.30057887311799347
0.01,-0.60115138505810173,8.5806126377608538e-06,-0.60115996567073948
0.02,-0.30057251343393571,1.5229445188693797e-05,-0.30058774287912438
0.029999999999999999,-0.30057251591547202,2.6284289168809297e-05,-0.3005988002046408
0.040000000000000001,-0.30057251937249652,4.1705472916525589e-05,-0.30061422484541306
0.050000000000000003,-0.30057252378798938,6.1437742765016147e-05,-0.30063396153075439
0.059999999999999998,-0.30057252914022015,8.5410547752343981e-05,-0.3006579396879725
0.070000000000000007,-0.3005725354028666,0.00011353840287118859,-0.30068607380573781
0.080000000000000002,-0.30057254254516047,0.00014572132871660656,-0.30071826387387707
0.089999999999999997,-0.30057255053206522,0.00018184536487475327,-0.30075439589693997
0.10000000000000001,-0.30057255932448607,0.00022178315385826679,-0.30079434247834436
0.11,-0.30057256887951439,0.0002653945918330432,-0.30083796347134745
0.12,-0.30057257915070912,0.00031252754179544927,-0.30088510669250457
0.13,-0.30057259008841558,0.00036301860424886931,-0.30093560869266445
0.14000000000000001,-0.30057260164012661,0.00041669393979559219,-0.30098929557992221
0.14999999999999999,-0.30057261375088307,0.0004733701374078411,-0.3010459838882909
0.16,-0.30057262636371918,0.00053285512147555644,-0.30110548148519473
0.17000000000000001,-0.30057263942015011,0.00059494909005587031,-0.30116758851020597
0.17999999999999999,-0.30057265286070212,0.0006594454760799381,-0.30123209833678205
0.19,-0.30057266662548598,0.00072613192261934949,-0.30129879854810532
0.20000000000000001,-0.30057268065480808,0.00079479126269191812,-0.30136747191750002
0.20999999999999999,-0.30057269488981964,0.0008652024935132366,-0.30143789738333288
0.22,-0.30057270927319213,0.00093714173459684955,-0.30150985100778899
0.22999999999999998,-0.30057272374982219,0.0010103831586959226,-0.30158310690851814
0.23999999999999999,-0.30057273826754599,0.001084699884289162,-0.30165743815183516
0.25,-0.30057275277786055,0.0011598648181721175,-0.30173261759603265
0.26000000000000001,-0.30057276723663595,0.0012356514367524024,-0.30180841867338837
0.27000000000000002,-0.30057278160480255,0.0013118344948955477,-0.30188461609969808
0.28000000000000003,-0.30057279584899688,0.0013881906516594448,-0.30196098650065634
0.28999999999999998,-0.30057280994214919,0.0014644990030212356,-0.30203730894517045
0.29999999999999999,-0.30057282386398609,0.0015405415127710373,-0.30211336537675715
0.31,-0.3005728376014315,0.00161610333414872,-0.30218894093558024
0.32000000000000001,-0.30057285114887672,0.0016909730165551025,-0.30226382416543179
0.33000000000000002,-0.30057286450829862,0.0017649425937927036,-0.30233780710209135
0.34000000000000002,-0.3005728776891996,0.0018378075527906638,-0.30241068524199027
0.35000000000000003,-0.30057289070834486,0.0019093666846400313,-0.3024822573929849
0.35999999999999999,-0.30057290358927585,0.0019794218229934467,-0.30255232541226929
0.37,-0.30057291636157929,0.0020477774784369569,-0.30262069384001622
0.38,-0.30057292905989669,0.0021142403812746198,-0.3026871694411713
0.39000000000000001,-0.3005729417226638,0.0021786189492142491,-0.30275156067187803
0.40000000000000002,-0.3005729543905743,0.0022407227006215873,-0.30281367709119589
0.41000000000000003,-0.30057296710477438,0.0023003616382167992,-0.30287332874299117
0.41999999999999998,-0.30057297990479703,0.0023573456321980065,-0.30293032553699506
0.42999999999999999,-0.30057299282626232,0.0024114838356486847,-0.30298447666191103
0.44,-0.30057300589837554,0.0024625841685577592,-0.30303559006693331
0.45000000000000001,-0.30057301914127221,0.0025104529096764794,-0.30308347205094871
0.45999999999999996,-0.30057303256326634,0.0025548944375653046,-0.30312792700083163
0.47000000000000003,-0.30057304615807778,0.0025957111633502796,-0.30316875732142806
0.47999999999999998,-0.30057305990212158,0.0026327036977129552,-0.30320576359983453
0.49000000000000005,-0.30057307375195907,0.0026656712932875341,-0.30323874504524662
0.5,-0.30057308764201651,0.0026944126007539468,-0.30326750024277044
0.51000000000000001,-0.30057310148269067,0.0027187267723395984,-0.30329182825503026
0.52000000000000002,-0.30057311515896357,0.0027384149400536974,-0.30331153009901729
0.52999999999999992,-0.30057312852965057,0.0027532820876998779,-0.30332641061735044
0.54000000000000004,-0.30057314142740588,0.0027631393255272189,-0.30333628075293312
0.54999999999999993,-0.30057315365960091,0.0027678065643394058,-0.3033409602239403
0.56000000000000005,-0.30057316501017606,0.0027671155721223631,-0.30334028058229839
0.56999999999999995,-0.30057317524254795,0.0027609133810023918,-0.30333408862355032
0.57999999999999996,-0.3005731841036276,0.0027490659959439451,-0.30332225009957153
0.58999999999999997,-0.30057319132896521,0.0027314623394836114,-0.30330465366844883
0.59999999999999998,-0.30057319664899868,0.0027080183495333267,-0.303281214998532
0.60999999999999999,-0.30057319979633423,0.002678681130540548,-0.30325188092687477
0.62,-0.30057320051392822,0.0026434330428374603,-0.3032166335567657
0.63,-0.30057319856398262,0.0026022956017002687,-0.3031754941656829
0.64000000000000001,-0.30057319373730423,0.0025553330473864063,-0.30312852678469066
0.64999999999999991,-0.30057318586281806,0.0025026554411556236,-0.30307584130397369
0.66000000000000003,-0.30057317481686741,0.0024444211409182619,-0.30301759595778566
0.66999999999999993,-0.30057316053189065,0.0023808385145151177,-0.30295399904640574
0.68000000000000005,-0.30057314300402599,0.0023121667593952342,-0.30288530976342121
0.68999999999999995,-0.30057312229918853,0.0022387157150795941,-0.30281183801426814
0.70000000000000007,-0.30057309855716369,0.0021608445794495967,-0.30273394313661328
0.70999999999999996,-0.30057307199330391,0.0020789594713927113,-0.3026520314646966
0.71999999999999997,-0.30057304289747622,0.0019935098200748514,-0.30256655271755106
0.72999999999999998,-0.30057301163000461,0.0019049836040411006,-0.30247799523404573
0.73999999999999999,-0.30057297861447535,0.001813901509963099,-0.30238688012443843
0.75,-0.30057294432742604,0.0017208101292015246,-0.30229375445662754
0.76000000000000001,-0.30057290928510577,0.0016262743581022961,-0.30219918364320808
0.76999999999999991,-0.30057287402767896,0.0015308692124782249,-0.30210374324015721
0.78000000000000003,-0.30057283910142041,0.0014351713052804744,-0.30200801040670089
0.78999999999999992,-0.30057280503962358,0.0013397502662983259,-0.30191255530592193
