tau,VACF
0.0,1.0
1.2621774483536189e-29,213648977566555.5
2.5243548967072378e-29,178040814638796.28
1.0097419586828951e-28,26706122195819.438
2.0194839173657902e-28,8902040731939.8125
3.0292258760486853e-28,8902040731939.8125
4.0389678347315804e-28,4451020365969.9062
5.0487097934144756e-28,3560816292775.9258
6.0584517520973707e-28,4451020365969.9062
7.0681937107802658e-28,2543440209125.6606
8.0779356694631609e-28,2225510182984.9531
9.087677628146056e-28,2967346910646.6045
1.0097419586828951e-27,1780408146387.9629
1.1107161545511846e-27,2427829290529.04
1.2116903504194741e-27,1483673455323.3022
1.3126645462877636e-27,1369544727990.7405
1.4136387421560532e-27,1907580156844.2458
1.5146129380243427e-27,1186938764258.6416
1.6155871338926322e-27,2225510182984.9531
1.7165613297609217e-27,1047298909639.978
1.8175355256292112e-27,2472789092205.5034
2.0194839173657902e-27,1780408146387.9629
2.2214323091023692e-27,2023191075440.8665
2.4233807008389483e-27,2225510182984.9531
2.6253290925755273e-27,1711930909988.4255
2.8272774843121063e-27,1907580156844.2458
3.0292258760486853e-27,1483673455323.3022
3.2311742677852644e-27,2225510182984.9531
3.4331226595218434e-27,1309123637049.9727
3.6350710512584224e-27,1483673455323.3022
3.8370194429950014e-27,1171321148939.449
4.0389678347315804e-27,1780408146387.9629
4.2409162264681595e-27,1059766753802.3586
4.4428646182047385e-27,1213914645264.52
4.6448130099413175e-27,967613123036.93628
4.8467614016778965e-27,1483673455323.3022
5.0487097934144756e-27,890204073193.98145
5.2506581851510546e-27,1027158545993.0553
5.4526065768876336e-27,659410424588.13428
9.9999999999997554e-15,0.090996044422976999
9.9999999999998059e-15,0.36502945783933116
9.9999999999998564e-15,0.73253469398990345
9.9999999999999069e-15,0.64837091452175633
9.9999999999999321e-15,0.0941365587127031
9.9999999999999574e-15,0.83803213230260365
9.9999999999999826e-15,0.28550601482740379
9.9999999999999953e-15,0.10247993890033304
9.9999999999999984e-15,0.13981943575945344
1e-14,0.1870469909399903
1.0000000000000002e-14,0.2190028591249229
1.0000000000000008e-14,0.62538817886636378
1.000000000000002e-14,0.30318468969728563
1.0000000000000033e-14,0.19537539930589215
1.0000000000000058e-14,0.27115623525114918
1.0000000000000159e-14,0.1802594772308149
1.000000000000026e-14,0.26960433750199919
1.0000000000000361e-14,0.17919538198504614
1.0000000000000462e-14,0.17874259951194499
1.0000000000000563e-14,0.2672120663860163
1.0000000000000664e-14,0.17749362467167448
1.0000000000000765e-14,0.17692685333840577
1.0000000000000866e-14,0.26420495805805083
1.0000000000000967e-14,0.17523827623304847
1.0000000000001068e-14,0.26124959801764264
1.0000000000001169e-14,0.17287322055837553
1.000000000000127e-14,0.17157524038410063
1.0000000000001371e-14,0.25407187771029105
1.0000000000001472e-14,0.16608438122598626
1.0000000000001573e-14,0.24557331223602777
1.0000000000001674e-14,0.22590458383124126
1.0000000000001775e-14,0.59562726469838934
1.0000000000001977e-14,0.30777699484101406
1.0000000000002179e-14,0.48351639035140803
1.0000000000002381e-14,0.47562679923873469
1.0000000000002583e-14,0.54041264790649068
1.0000000000002785e-14,0.3747131378263413
1.0000000000002987e-14,0.61277929146740595
1.0000000000003189e-14,0.46182121819758326
1.0000000000003391e-14,0.69969891161614195
1.0000000000003592e-14,0.36694159462834269
1.0000000000003794e-14,0.62056107485800482
1.0000000000003996e-14,0.45314728027669088
