"initialpos, x","initialpos, y","finalpos, x","finalpos, y"
0.0,0.0,1.86909043118e-10,-2.64706174942e-09
3.82198327449e-10,0.0,4.86980486299e-10,-2.43526498991e-09
7.64396654899e-10,0.0,8.14386586427e-10,-2.68349315111e-09
1.14659498235e-09,0.0,1.14179289213e-09,-2.43526504611e-09
1.5287933098e-09,0.0,1.4418641392e-09,-2.64706192044e-09
0.0,3.82198327449e-10,1.55677039181e-10,-2.244569334e-09
3.82198327449e-10,3.82198327449e-10,4.95779096822e-10,-2.05045397019e-09
7.64396654899e-10,3.82198327449e-10,8.14386523705e-10,-2.22420801237e-09
1.14659498235e-09,3.82198327449e-10,1.13299426458e-09,-2.05045389017e-09
1.5287933098e-09,3.82198327449e-10,1.47309636734e-09,-2.24456948639e-09
0.0,7.64396654899e-10,1.2972032127e-10,-1.86428823197e-09
3.82198327449e-10,7.64396654899e-10,4.79254104026e-10,-1.68835725709e-09
7.64396654899e-10,7.64396654899e-10,8.1438666065e-10,-1.83804536026e-09
1.14659498235e-09,7.64396654899e-10,1.1495192825e-09,-1.68835728101e-09
1.5287933098e-09,7.64396654899e-10,1.49905292078e-09,-1.86428799882e-09
0.0,1.14659498235e-09,1.56608660328e-10,-1.48200070555e-09
3.82198327449e-10,1.14659498235e-09,4.89134511636e-10,-1.27909174662e-09
7.64396654899e-10,1.14659498235e-09,8.14386752983e-10,-1.46717739703e-09
1.14659498235e-09,1.14659498235e-09,1.13963888304e-09,-1.27909168184e-09
1.5287933098e-09,1.14659498235e-09,1.47216462916e-09,-1.48200060783e-09
0.0,1.5287933098e-09,1.31457240145e-10,-1.0835806615e-09
3.82198327449e-10,1.5287933098e-09,4.85496306001e-10,-8.86859042367e-10
7.64396654899e-10,1.5287933098e-09,8.14386680036e-10,-1.07447856008e-09
1.14659498235e-09,1.5287933098e-09,1.14327692813e-09,-8.86858908373e-10
1.5287933098e-09,1.5287933098e-09,1.49731605301e-09,-1.08358050841e-09
0.0,1.91099163725e-09,1.31457241173e-10,4.62334559929e-09
3.82198327449e-10,1.91099163725e-09,4.85496316185e-10,4.42662396512e-09
7.64396654899e-10,1.91099163725e-09,8.14386674659e-10,4.61424349028e-09
1.14659498235e-09,1.91099163725e-09,1.14327693841e-09,4.42662386569e-09
1.5287933098e-09,1.91099163725e-09,1.49731605874e-09,4.62334547391e-09
0.0,2.2931899647e-09,1.56608659857e-10,5.02176564031e-09
3.82198327449e-10,2.2931899647e-09,4.89134501951e-10,4.81885668826e-09
7.64396654899e-10,2.2931899647e-09,8.14386727827e-10,5.00694233906e-09
1.14659498235e-09,2.2931899647e-09,1.13963887202e-09,4.81885664114e-09
1.5287933098e-09,2.2931899647e-09,1.47216463245e-09,5.0217655697e-09
0.0,2.67538829215e-09,1.2972033998e-10,5.40405315011e-09
3.82198327449e-10,2.67538829215e-09,4.79254089993e-10,5.22812220725e-09
7.64396654899e-10,2.67538829215e-09,8.14386658165e-10,5.37781030926e-09
1.14659498235e-09,2.67538829215e-09,1.14951927527e-09,5.22812222598e-09
1.5287933098e-09,2.67538829215e-09,1.49905292409e-09,5.40405297771e-09
0.0,3.05758661959e-09,1.55677022409e-10,5.78433430167e-09
3.82198327449e-10,3.05758661959e-09,4.95779084327e-10,5.59021890909e-09
7.64396654899e-10,3.05758661959e-09,8.14386555201e-10,5.76397296197e-09
1.14659498235e-09,3.05758661959e-09,1.13299425709e-09,5.59021884641e-09
1.5287933098e-09,3.05758661959e-09,1.47309635684e-09,5.78433441793e-09
0.0,3.43978494704e-09,1.86909058589e-10,6.18682671082e-09
3.82198327449e-10,3.43978494704e-09,4.86980483829e-10,5.97502994521e-09
7.64396654899e-10,3.43978494704e-09,8.14386608418e-10,6.22325811021e-09
1.14659498235e-09,3.43978494704e-09,1.14179288304e-09,5.9750299853e-09
1.5287933098e-09,3.43978494704e-09,1.44186415192e-09,6.18682684323e-09
