Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV),VACF
0.74,-1.09802463473,0.00995750242788,-1.10798213716,405.489099637
0.75,-1.09802462972,0.00995128376966,-1.10797591349,405.763060114
0.76,-1.09802461873,0.00993433950261,-1.10795895823,405.577967328
0.77,-1.09802460172,0.00990690873961,-1.10793151046,404.921354395
0.78,-1.09802457875,0.00986932571184,-1.10789390446,403.78228585
0.79,-1.09802454999,0.00982201846773,-1.10784656846,402.15152976
0.8,-1.09802451571,0.00976550587642,-1.10779002159,400.021713402
0.81,-1.0980244763,0.00970039293973,-1.10772486924,397.387459273
0.82,-1.09802443222,0.00962736445429,-1.10765179668,394.245498483
0.83,-1.09802438406,0.00954717710328,-1.10757156116,390.594758855
0.84,-1.09802433247,0.00946065009497,-1.10748498257,386.436425526
0.85,-1.09802427819,0.00936865450212,-1.10739293269,381.773972299
0.86,-1.098024222,0.00927210149112,-1.10729632349,376.613162583
0.87,-1.09802416473,0.00917192966175,-1.1071960944,370.962019373
0.88,-1.09802410725,0.00906909174715,-1.107093199,364.830764315
0.89,-1.09802405042,0.00896454094748,-1.10698859137,358.2317265
0.9,-1.09802399509,0.00885921718942,-1.10688321228,351.179222188
0.91,-1.09802394209,0.00875403361647,-1.10677797571,343.689407282
0.92,-1.0980238922,0.00864986362075,-1.10667375582,335.780105006
0.93,-1.0980238461,0.00854752872567,-1.10657137483,327.470611903
0.94,-1.09802380443,0.00844778761968,-1.10647159205,318.781485909
0.95,-1.09802376769,0.00835132662391,-1.10637509431,309.734320816
0.96,-1.09802373627,0.00825875185139,-1.10628248812,300.351511935
0.97,-1.09802371043,0.00817058328187,-1.10619429371,290.656018105
0.98,-1.09802369029,0.00808725093533,-1.10611094122,280.671125419
0.99,-1.09802367582,0.00800909327888,-1.1060327691,270.420218062
1.0,-1.09802366685,0.00793635794733,-1.1059600248,259.926561463
1.01,-1.09802366306,0.00786920479789,-1.10589286785,249.213102483
1.02,-1.09802366398,0.00780771125567,-1.10583137524,238.30229035
1.03,-1.09802366904,0.00775187984069,-1.10577554888,227.215920363
1.04,-1.09802367752,0.00770164770034,-1.10572532522,215.975000398
1.05,-1.09802368864,0.00765689790557,-1.10568058655,204.599641908
1.06,-1.09802370153,0.00761747220729,-1.10564117373,193.108989026
1.07,-1.09802371526,0.00758318489216,-1.10560690015,181.521207972
1.08,-1.09802372891,0.00755383732834,-1.10557756624,169.853531635
1.09,-1.09802374156,0.00752923275178,-1.10555297431,158.122325099
1.1,-1.09802375233,0.0075091908159,-1.10553294315,146.34316071
1.11,-1.09802376042,0.00749356141347,-1.10551732183,134.530914072
1.12,-1.09802376513,0.0074822372795,-1.10550600241,122.699887159
1.13,-1.09802376591,0.00747516490138,-1.10549893081,110.863956974
1.14,-1.09802376234,0.00747235329579,-1.10549611563,99.0367423014
1.15,-1.0980237542,0.00747388026269,-1.10549763446,87.2317795825
1.16,-1.09802374146,0.00747989579404,-1.10550363726,75.4626999843
1.17,-1.09802372431,0.00749062239749,-1.10551434671,63.7434005828
1.18,-1.09802370311,0.00750635219132,-1.1055300553,52.0882029132
1.19,-1.09802367847,0.00752744073412,-1.1055511192,40.5119923417
1.2,-1.09802365115,0.00755429766692,-1.10557794882,29.030331672
1.21,-1.09802362211,0.00758737436373,-1.10561099647,17.6595411716
1.22,-1.09802359244,0.00762714890312,-1.10565074134,6.41673302559
1.23,-1.09802356335,0.00767410878472,-1.10569767214,-4.68021267623
1.24,-1.09802353612,0.00772873191442,-1.10575226804,-15.6127081984
1.25,-1.09802351206,0.0077914664666,-1.10581497852,-26.3614934233
1.26,-1.09802349245,0.0078627102959,-1.10588620275,-36.9066646362
1.27,-1.09802347854,0.00794279061101,-1.10596626915,-47.22778646
1.28,-1.09802347144,0.00803194463673,-1.10605541608,-57.3040995111
1.29,-1.09802347213,0.00813030197575,-1.10615377411,-67.114773091
1.3,-1.0980234814,0.00823786933808,-1.10626135074,-76.6391448881
1.31,-1.0980234998,0.00835451823587,-1.10637801803,-85.8569603294
1.32,-1.09802352765,0.00847997614586,-1.10650350379,-94.7486267756
1.33,-1.09802356501,0.00861382152589,-1.10663738653,-103.29547352
