Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV),VACF
5.8500000000000005,-0.15622791962746738,0.00058522355225375483,-0.15681314317972114,27.53676871559939
5.8599999999999994,-0.15622791315603737,0.00058011014842084072,-0.15680802330445823,26.938074526990935
5.8700000000000001,-0.15622790985577278,0.00057732737207952212,-0.15680523722785231,26.332336151943544
5.8799999999999999,-0.15622790984794407,0.00057692958549614159,-0.15680483943344023,25.726048084599551
5.8900000000000006,-0.15622791317393689,0.00057891865479990071,-0.15680683182873678,25.125703579515761
5.9000000000000004,-0.15622791979314907,0.00058324332458643423,-0.15681116311773549,24.537682265960235
5.9099999999999993,-0.15622792958361359,0.00058979986854564004,-0.15681772945215922,23.96814008599528
5.9199999999999999,-0.1562279423453235,0.00059843400630043642,-0.15682637635162394,23.422902336964658
5.9299999999999997,-0.1562279578061086,0.00060894403532042274,-0.15683690184142901,22.907363410382057
5.9400000000000004,-0.15622797562979543,0.00062108508772219817,-0.15684906071751764,22.426400619139958
5.9500000000000002,-0.15622799542628457,0.0006345743867531608,-0.15686256981303773,21.98430779458689
5.96,-0.15622801676309964,0.00064909734828492256,-0.15687711411138455,21.58474373259973
5.9699999999999998,-0.15622803917791697,0.00066431434987486188,-0.15689235352779182,21.230686977804041
5.9799999999999995,-0.15622806219156241,0.00067986797464111967,-0.15690793016620352,20.92439778700826
5.9900000000000002,-0.15622808532097068,0.00069539052965458836,-0.15692347585062527,20.667393196317569
6.0,-0.15622810809163931,0.00071051163867030115,-0.15693861973030962,20.460438824295778
6.0099999999999998,-0.15622813004916236,0.00072486571629801287,-0.15695299576546037,20.303557755384297
6.0199999999999996,-0.15622815076950469,0.0007380991443159318,-0.15696624991382063,20.196054838708076
6.0300000000000002,-0.15622816986775998,0.00074987698968061363,-0.1569780468574406,20.136554291402902
6.04,-0.15622818700522142,0.00075988912663693263,-0.15698807613185836,20.123048731607788
