Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV),VACF
0.35,-0.722125202099,0.000863599557182,-0.722988801656,16.085036717
0.36,-0.722125189197,0.000846924576724,-0.722972113774,16.0877456626
0.37,-0.722125173185,0.000826506101248,-0.722951679287,16.0318500235
0.38,-0.722125154198,0.000802610820246,-0.722927765018,15.9174216522
0.39,-0.722125132415,0.000775552387572,-0.722900684803,15.7450045209
0.4,-0.722125108059,0.00074568848078,-0.72287079654,15.5156153255
0.41,-0.722125081394,0.000713417184828,-0.722838498579,15.2307394845
0.42,-0.722125052723,0.00067917272431,-0.722804225447,14.8923224135
0.43,-0.722125022386,0.000643420580912,-0.722768442967,14.5027560172
0.44,-0.722124990754,0.000606652045408,-0.7227316428,14.0648603977
0.45,-0.72212495823,0.000569378266013,-0.722694336496,13.5818608411
0.46,-0.722124925234,0.000532123866923,-0.722657049101,13.0573602093
0.47,-0.722124892207,0.000495420222094,-0.722620312429,12.495306922
0.48,-0.722124859597,0.000459798479391,-0.722584658076,11.8999587704
0.49,-0.722124827856,0.000425782438814,-0.722550610295,11.2758428433
0.5,-0.722124797433,0.000393881395323,-0.722518678828,10.6277118611
0.51,-0.722124768761,0.000364583061512,-0.722489351823,9.95490075262
0.52,-0.722124742258,0.000338346687813,-0.722463088946,9.27417098681
0.53,-0.722124718313,0.000315596497849,-0.72244031481,8.58632069261
0.54,-0.722124697279,0.000296715553928,-0.722421412833,7.89648335993
0.55,-0.722124679472,0.000282040162373,-0.722406719635,7.20971347645
0.56,-0.72212466516,0.000271854920527,-0.722396520081,6.53085335965
0.57,-0.722124654559,0.000266388496945,-0.722391043056,5.86385646768
0.58,-0.72212464783,0.000265810223674,-0.722390458054,5.22234106249
0.59,-0.722124645076,0.000270227564942,-0.722394872641,4.59811164287
0.6,-0.722124646337,0.000279684510362,-0.722404330847,4.00335838866
0.61,-0.722124651593,0.000294160923273,-0.722418812517,3.44006680719
0.62,-0.722124660764,0.00031357285659,-0.722438233621,2.91040346872
0.63,-0.722124673709,0.000337773829958,-0.722462447539,2.42481910831
0.64,-0.722124690229,0.000366557043572,-0.722491247273,1.97711683489
0.65,-0.722124710075,0.000399658486285,-0.722524368561,1.57460669089
0.66,-0.722124732948,0.000436760878904,-0.722561493827,1.21830007815
0.67,-0.722124758506,0.00047749837847,-0.722602256884,0.909614435723
0.68,-0.722124786372,0.000521461956005,-0.722646248328,0.649613518437
0.69,-0.722124816139,0.00056820534914,-0.722693021488,0.438952559657
0.7,-0.722124847378,0.000617251482339,-0.72274209886,0.27787072941
0.71,-0.722124879645,0.000668099241324,-0.722792978887,0.166196756759
0.72,-0.722124912491,0.000720230484799,-0.722845142976,0.103361762352
0.73,-0.722124945464,0.000773117175676,-0.72289806264,0.0884173984156
0.74,-0.722124978123,0.000826228515651,-0.722951206638,0.120058316696
0.75,-0.722125010038,0.000879037970978,-0.723004048009,0.196648257403
0.76,-0.722125040803,0.000931030083431,-0.723056070886,0.316249146203
0.77,-0.722125070035,0.000981706968483,-0.723106777003,0.476652623675
0.78,-0.722125097383,0.00103059441234,-0.723155691795,0.67541345112
0.79,-0.722125122533,0.00107724749031,-0.723202370023,0.909884252567
0.8,-0.722125145206,0.00112125564088,-0.723246400846,1.17725107101
0.81,-0.722125165166,0.00116224714196,-0.723287412308,1.47456923941
0.82,-0.722125182219,0.00119989294874,-0.723325075168,1.79879909464
0.83,-0.722125196215,0.00123390986478,-0.72335910608,2.1468410948
0.84,-0.722125207047,0.00126406303038,-0.723389270078,2.51556993704
0.85,-0.722125214651,0.00129016772386,-0.723415382375,2.90186731316
0.86,-0.722125219005,0.00131209048213,-0.723437309487,3.30265298245
0.87,-0.722125220127,0.00132974955685,-0.723454969684,3.71491388589
