Input PDB File: cubane.pdb Total lines: 20
C 0.787 -0.852 0.504
C -0.160 -1.104 -0.624
C -1.262 -0.440 0.160
C -0.289 -0.202 1.284
C 1.203 0.513 -0.094
C 0.099 1.184 0.694
C -0.885 0.959 -0.460
C 0.236 0.283 -1.269
H 1.410 -1.631 0.942
H -0.262 -2.112 -1.024
H -2.224 -0.925 0.328
H -0.468 -0.501 2.315
H 2.224 0.892 -0.134
H 0.240 2.112 1.251
H -1.565 1.730 -0.831
H 0.472 0.494 -2.315
